report_month,security_id,security_type,issuance_upb,current_upb,factor,cpr_pct,published_files,expected_files,release_lag_days,revision_flag
2026-01,SD1001,UMBS,184000000,179420000,0.9751,6.4,12,12,1,false
2026-01,SD1002,UMBS,162000000,156880000,0.9684,6.9,12,12,1,false
2026-01,SD1003,SUPER,119000000,115210000,0.9682,7.1,12,12,1,false
2026-02,SD1001,UMBS,181000000,174310000,0.9630,7.0,12,12,1,false
2026-02,SD1002,UMBS,168000000,160210000,0.9536,7.3,12,12,1,false
2026-02,SD1003,SUPER,124000000,118000000,0.9516,7.5,12,12,1,false
2026-03,SD1001,UMBS,192000000,181950000,0.9477,7.8,12,12,2,false
2026-03,SD1002,UMBS,176000000,165420000,0.9399,8.0,12,12,2,false
2026-03,SD1003,SUPER,131000000,122430000,0.9346,8.2,12,12,2,false
2026-04,SD1001,UMBS,204000000,190210000,0.9324,8.3,11,12,4,true
2026-04,SD1002,UMBS,179000000,166890000,0.9323,8.5,11,12,4,true
2026-04,SD1003,SUPER,139000000,128470000,0.9242,8.7,11,12,4,true
2026-05,SD1001,UMBS,198000000,181190000,0.9151,8.6,12,12,1,false
2026-05,SD1002,UMBS,185000000,167500000,0.9054,8.8,12,12,1,false
2026-05,SD1003,SUPER,142000000,126380000,0.8900,9.0,12,12,1,false
2026-06,SD1001,UMBS,221000000,199540000,0.9020,9.0,12,12,1,false
2026-06,SD1002,UMBS,193000000,171770000,0.8900,9.2,12,12,1,false
2026-06,SD1003,SUPER,149000000,130970000,0.8790,9.4,12,12,1,false
